ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,TAS,ASL,AOA,AOS,G,LonG,Relative Time
1973-12-21T09:34:13Z,125314453,20D,42.8933729,44.2936655,1435.36,-2.3,13.4,292.5,689838.62,-45790.98,285.5,250.453903441802,1435.35998535156,2.4388066276707,-0.14205377982298,0.812108474754543,-0.126458716314596,607.859999999404
1973-12-21T09:34:13.25Z,125314453.25,20D,42.8926742,44.2938722,1447.07,-2.2,13.3,292.5,689780.06,-45774.8,285.5,249.695857189145,1447.07092285156,2.40254707717921,-0.153524383880184,0.803217072012301,-0.0207060920613077,608.109999999404
1973-12-21T09:34:13.5Z,125314453.5,20D,42.8919807,44.2940772,1458.58,-1.7,13.1,292.5,689721.94,-45758.77,285.5,249.40111274624,1458.576171875,2.31091231065174,-0.142805885825465,0.79255859436769,0.0838851854350056,608.359999999404
1973-12-21T09:34:13.75Z,125314453.75,20D,42.891287,44.2942821,1469.96,-1.2,12.9,292.5,689663.88,-45742.74,285.5,247.182974100244,1469.95715332031,2.29761249050717,-0.126477698175653,0.773492138708565,0.444751479961994,608.609999999404
1973-12-21T09:34:14Z,125314454,20D,42.8905812,44.2944907,1481.42,-0.9,12.9,292.5,689604.69,-45726.43,285.5,247.012073243135,1481.42419433594,2.36403532987101,-0.121440389618089,0.777320167237549,0.377719186708773,608.859999999404
1973-12-21T09:34:14.25Z,125314454.25,20D,42.8898777,44.2946984,1492.75,-1.2,12.8,292.5,689545.75,-45710.18,285.4,247.315866737867,1492.748046875,2.3839895763632,-0.0502600097426948,0.776839201165448,0.422677664378977,609.109999999404
1973-12-21T09:34:14.5Z,125314454.5,20D,42.8891739,44.2949062,1503.93,-1.4,12.7,292.4,689486.81,-45693.93,285.4,248.080741494312,1503.93139648438,2.37020633553001,-0.0632856078970376,0.790822348097391,0.416069712721197,609.359999999404
1973-12-21T09:34:14.75Z,125314454.75,20D,42.8884649,44.2951154,1515.07,-1.3,12.6,292.4,689427.38,-45677.58,285.4,249.425860832364,1515.06994628906,2.35225583909458,-0.0733373175747166,0.830206173270692,0.132281912562289,609.609999999404
1973-12-21T09:34:15Z,125314455,20D,42.8877669,44.2953211,1525.94,-1,12.6,292.4,689368.88,-45661.5,285.4,248.605889298994,1525.93811035156,2.41597392130354,-0.0753653324463936,0.857297057346364,0.313901956629052,609.859999999404
1973-12-21T09:34:15.25Z,125314455.25,20D,42.8870538,44.2955312,1536.96,-0.8,12.6,292.4,689309.12,-45645.09,285.4,249.366513519233,1536.96423339844,2.5159709749159,-0.0752926193851564,0.911307155437861,0.0217504499728384,610.109999999404
1973-12-21T09:34:15.5Z,125314455.5,20D,42.8863411,44.2957411,1547.94,-1.1,12.7,292.4,689249.44,-45628.69,285.4,250.080272520784,1547.939453125,2.63364699867719,-0.0993740871590505,0.950811976819148,-0.0363241104934858,610.359999999404
1973-12-21T09:34:15.75Z,125314455.75,20D,42.8856472,44.2959454,1558.6,-1.5,12.7,292.4,689191.31,-45612.73,285.4,248.648004852552,1558.60278320312,2.6593335892709,-0.126970783450353,0.971838304237829,0.150043829879918,610.609999999404
1973-12-21T09:34:16Z,125314456,20D,42.884938,44.2961539,1569.52,-1.9,12.8,292.3,689131.88,-45596.45,285.3,249.60041565318,1569.5185546875,2.74622976674838,-0.0739637667140434,0.994417385441477,0.013624471459638,610.859999999404
1973-12-21T09:34:16.25Z,125314456.25,20D,42.8842488,44.2963564,1580.14,-2,12.8,292.3,689074.12,-45580.65,285.3,247.469875929976,1580.14001464844,2.73303299967352,-0.0559904474343947,0.974912767651307,0.408632511038439,611.109999999404
1973-12-21T09:34:16.5Z,125314456.5,20D,42.8835348,44.296566,1591.16,-2.2,12.9,292.2,689014.31,-45564.3,285.2,247.58360486528,1591.15661621094,2.79214404871675,-0.030368782010906,0.966723855123497,0.326983503203988,611.359999999404
1973-12-21T09:34:16.75Z,125314456.75,20D,42.8828363,44.2967707,1601.95,-2.2,12.8,292.2,688955.81,-45548.33,285.2,247.964752478037,1601.94567871094,2.74821113217346,-0.048516705282342,0.952308885551932,0.242819796386684,611.609999999404
1973-12-21T09:34:17Z,125314457,20D,42.8821311,44.2969773,1612.83,-1.9,12.7,292.2,688896.75,-45532.23,285.2,247.55485346859,1612.82666015625,2.650358157215,-0.0454998097691951,0.930576594234333,0.344955789831961,611.859999999404
1973-12-21T09:34:17.25Z,125314457.25,20D,42.8814214,44.2971849,1623.71,-1.2,12.6,292.2,688837.31,-45516.05,285.2,249.302572072778,1623.71472167969,2.58340833588417,-0.021588812321941,0.940658284427148,0.0632220262091137,612.109999999404
1973-12-21T09:34:17.5Z,125314457.5,20D,42.8807146,44.2973917,1634.52,-0.7,12.6,292.2,688778.12,-45499.95,285.2,248.608968508233,1634.5185546875,2.65673851515582,-0.013232064902097,0.944405325979629,0.0793231447556315,612.359999999404
1973-12-21T09:34:17.75Z,125314457.75,20D,42.8800203,44.2975947,1645.11,-0.7,12.7,292.2,688720,-45484.12,285.2,248.181407484321,1645.11315917969,2.72955123163209,-0.0138664822158533,0.945445529206453,0.236011042899711,612.609999999404
